name,alt_name,ra,dec,bv_color,parallax
HR 1380,64Del2Tau,178.28871,-21.8596,0.15,0.017
HR 1381,66    Tau,185.11044,-26.87624,0.07,0.001
HR 1382,,148.74514,5.95859,0.04,
HR 1383,42Xi  Eri,197.82463,-34.29836,0.08,0.013
HR 1384,,222.74702,-42.74555,1.51,
HR 1385,,177.11639,-20.67608,0.37,
HR 1386,,237.27591,-44.56081,1.24,
HR 1387,65Kap1Tau,174.56457,-18.48362,0.13,0.025
HR 1388,67Kap2Tau,174.64726,-18.53701,0.25,
HR 1389,68Del3Tau,178.11762,-21.29458,0.05,0.019
HR 139,The Tuc,305.00861,-45.7893,0.23,
HR 1390,,167.62572,-12.24278,0.97,
HR 1391,70    Tau,179.79182,-22.53474,0.49,0.038
HR 1392,69Ups Tau,174.30193,-17.97868,0.26,0.036
HR 1393,43    Eri,235.17263,-44.22712,1.49,-0.008
HR 1394,71    Tau,180.18202,-22.60269,0.25,0.007
HR 1395,Eta Ret,275.01134,-40.52319,0.96,0.016
HR 1396,73Pi  Tau,180.98957,-23.12107,0.98,0.014
HR 1397,,186.30441,-26.90501,0.02,
HR 1398,,236.22727,-44.11996,0.44,
HR 1399,72    Tau,174.31299,-17.68787,-0.1,
HR 14,,98.34419,-63.23671,1.38,
HR 140,,308.96793,-64.55576,0.47,0.038
HR 1400,,192.49724,-30.50209,1.09,
HR 1401,,137.88831,16.47963,0.3,
HR 1402,,184.15602,-25.10902,0.05,0.003
HR 1403,,175.52487,-18.45928,0.27,
HR 1404,,249.35249,-44.2439,0.44,
HR 1405,,266.90767,-42.26733,0.66,0.042
HR 1406,,168.84855,-12.53425,0.52,0.016
HR 1407,75    Tau,179.90129,-21.74528,1.13,
HR 1408,76    Tau,181.25828,-22.76695,0.32,
HR 1409,74Eps Tau,177.5965,-19.92371,1.01,0.02
HR 141,,116.76465,-49.30277,,
HR 1410,,222.0026,-41.68602,0.14,0.019
HR 1411,77The1Tau,180.25663,-21.96955,0.95,0.038
HR 1412,78The2Tau,180.3475,-22.01062,0.18,0.029
HR 1413,,192.87822,-30.40457,1.02,
HR 1414,79    Tau,182.78078,-23.72726,0.23,
HR 1415,,193.41797,-30.56595,-0.1,
HR 1416,,272.18238,-40.91785,1.54,
HR 1417,1    Cam,151.91421,3.95072,0.18,0.006
HR 1418,,253.17905,-43.71276,0.46,0.032
HR 1419,,167.52233,-10.84522,-0.04,
HR 142,13    Cet,112.89947,-66.14869,0.56,0.06
HR 1420,,185.1299,-25.08748,0.09,
