hr,alt_name,ra_ysb,dec_ysb,vmag,bv_color,parallax_ysb,ra_simbad,dec_simbad,parallax_simbad,iau_name,origin,note,source,constellation_common_name,constellation_alt_name,asterism
HR1112,,55.6779,59.9694,5.76,1.71,,55.67807080405,59.969389694280004,1.8433,,,,,,,
HR1113,,55.2829,37.58,5.57,-0.07,,55.282738331340006,37.58019663798,5.1404,,,,,,,
HR1114,Tau For,54.6987,-27.9431,6.01,-0.02,,54.69863060421,-26.05694687786,6.7959,,,,,Fornax,For,
HR1115,12    Tau,54.9629,3.0569,5.57,0.94,,54.963008069809995,3.0568661490599998,9.567,,,,,Taurus,Tau,
HR1116,,54.9096,-3.3931,6.23,1.04,,54.909779471,-2.60699440551,7.8095,,,,,,,
HR1117,,54.8558,-10.4372,6.19,1.03,,54.85586686389,-9.56272610555,8.3932,,,,,,,
HR1118,11    Tau,55.1929,25.3294,6.11,0.06,,55.19295726168,25.32948847956,5.8067,,,,,Taurus,Tau,
HR1119,,54.9979,-1.1206,6.12,1.0,,54.99820488301,-0.87877572094,8.0315,,,,,,,
HR112,,7.7292,77.0194,6.21,0.84,0.023,7.7294948821595835,77.01940473635666,26.1414,,,,,,,
HR1120,,55.0475,-15.2267,6.33,0.88,,55.0476524965,-14.77346564925,5.9824,,,,,,,
HR1121,22    Eri,55.1596,-5.2106,5.53,-0.15,,55.159721308099996,-4.78929007467,5.2403,,,,,Eridanus,Eri,
HR1122,39Del Per,55.7313,47.7875,3.01,-0.13,0.016,55.73126773375,47.78754850916666,6.32,,,,,Perseus,Per,
HR1123,40    Per,55.5938,33.965,4.97,-0.01,,55.59435646916667,33.965024811944446,3.09,,,,,Perseus,Per,
HR1124,,56.5037,67.2017,5.8,0.35,0.004,56.50391676446,67.20160227895,18.8168,,,,,,,
HR1125,,55.3075,-11.8031,6.49,0.36,,55.307486910760005,-10.197610286369999,10.6433,,,,,,,
HR1126,13    Tau,55.5788,19.7003,5.69,-0.01,,55.57894865937,19.70025513221,6.2758,,,,,Taurus,Tau,
HR1127,,56.0267,48.5236,6.06,1.55,,56.026783205330005,48.52365780386,4.8135,,,,,,,
HR1128,,55.3433,-19.5847,6.59,0.09,,55.34329094172,-18.41561106009,8.4736,,,,,,,
HR1129,,56.5096,63.345,4.8,0.8,0.0,56.50971455266,63.345058761240004,2.9225,,,,,,,
HR113,,7.5829,59.9772,5.94,0.01,0.002,7.583060093079999,59.977552632460004,3.2021,,,,,,,
HR1130,,56.1704,46.0997,6.11,0.28,,56.17042445895,46.09981218062,6.8797,,,,,,,
HR1131,38Omi Per,56.0796,32.2883,3.83,0.05,0.023,56.079716833333336,32.288248027777776,2.91,Atik,,,,Perseus,Per,
HR1132,14    Tau,55.9467,19.665,6.14,1.01,,55.94672368786001,19.665034852229997,8.3882,,,,,Taurus,Tau,
HR1133,,56.1308,36.46,5.59,0.06,,56.131013866340005,36.46009427221,11.1661,,,,,,,
HR1134,Del For,55.5621,-31.9383,5.0,-0.16,,55.5620939168,-30.06163772472,3.8528,,,,,Fornax,For,
HR1135,41Nu  Per,56.2983,42.5786,3.77,0.42,0.02,56.29846680875,42.578550802222225,5.86,,,,,Perseus,Per,
HR1136,23Del Eri,55.8121,-9.7633,3.54,0.92,0.109,55.81208557481292,-8.236608067805834,110.0254,Rana,,,,Eridanus,Eri,
HR1137,,56.1171,20.9286,6.1,0.01,,56.11751581942,20.928735728030002,12.3772,,,,,,,
HR1138,,57.3075,70.8711,5.44,0.09,0.017,57.30724701771,70.87105020079,8.7759,,,,,,,
HR1139,,55.8908,-10.4856,5.6,0.22,,55.8909744843,-9.514343011740001,23.7643,,,,,,,
HR114,28    And,7.5304,29.7517,5.23,0.24,0.001,7.53068797693,29.75155779584,16.0963,,,,,Andromeda,And,
HR1140,16    Tau,56.2008,24.2894,5.46,-0.04,0.012,56.20089556752,24.28946759207,7.3852,Celaeno,,,,Taurus,Tau,
HR1141,,56.4971,45.6819,5.66,-0.07,,56.49691638473,45.68189933254,4.6643,,,,,,,
HR1142,17    Tau,56.2188,24.1133,3.7,-0.11,0.02,56.21890367416667,24.113336449166667,8.06,Electra,,,,Taurus,Tau,
HR1143,,55.7088,-37.3136,4.59,1.2,0.028,55.708562114702914,-36.68648318072806,18.5379,,,,,,,
HR1144,18    Tau,56.2904,24.8392,5.64,-0.07,,56.290583891820006,24.839261999559998,7.2222,,,,,Taurus,Tau,
HR1145,19    Tau,56.3021,24.4672,4.3,-0.11,,56.302065750833336,24.467280480555555,7.97,Taygeta,,,,Taurus,Tau,
