hr,ra,dec,parallax
HR  8214,21 29 03.7413526800,-31 14 18.815702496,9.5314 
HR  8215,21 27 21.3658834560,+37 07 00.466107924,2.4615 
HR  8216,21 26 51.6219389280,+48 50 06.599806584,8.3796 
HR  8217,21 27 40.0577041416,+27 36 30.939965568,16.9162 
HR  8218,21 26 44.9697592824,+52 53 54.730425048,6.2053 
HR  8219,21 28 24.8381812536,+08 11 44.331741312,3.686 
HR  8220,21 28 08.2507924080,+32 13 31.192899420,22.4645 
HR  8221,21 28 59.9178575400,+17 54 21.283075080,6.302 
HR  8222,21 29 59.5751923536,-19 08 52.181581812,9.711 
HR  8223,21 28 59.7726880656,+22 10 45.980951448,3.9121 
HR  8224,21 27 25.2768613776,+59 45 00.277433640,3.5358 
HR  8225,21 29 56.8954513,+23 38 19.817036,8.28 
HR  8226,21 28 52.7390472960,+55 25 07.347832464,3.3616 
HR  8227,21 27 46.1418220704,+66 48 32.749138404,4.3485 
HR  8228,21 29 26.9497663992,+46 32 26.107970964,15.2865 
HR  8229,21 32 05.8759161360,-41 10 45.516268344,7.609 
HR  8230,21 32 14.5697630040,-33 56 40.653538260,6.3173 
HR  8231,21 31 09.6293651688,+12 08 14.912561976,6.7544 
HR  8232,21 31 33.5317148,-05 34 16.232006,6.07 
HR  8233,21 33 17.6125319304,-52 44 15.982558728,3.8416 
HR  8234,21 38 56.3800972344,-79 26 33.298976112,15.369 
HR  8235,21 32 33.2618622816,-24 35 25.503292968,13.8375 
HR  8236,21 33 23.5147748808,-44 50 55.339268208,5.3029 
HR  8237,21 30 20.3307128760,+52 57 28.784301300,5.8967 
HR  8238,21 28 39.5968513,+70 33 38.574681,4.76 
HR  8239,21 24 49.5519174432,+80 31 29.368335108,8.5487 
HR  8240,21 32 27.0141683568,+23 23 40.505670060,5.5706 
HR  8241,21 34 17.1574347048,-42 55 28.847037468,8.2868 
HR  8242,21 31 27.4695958320,+52 37 11.514326196,2.3865 
HR  8243,21 30 59.2916490744,+60 27 33.954560208,1.1477 
HR  8244,21 34 53.0019484080,-29 41 46.026105288,3.8456 
HR  8245,21 34 51.0522316584,-20 05 03.338901816,36.3561 
HR  8246,21 32 56.5920346080,+49 58 39.478477980,6.9818 
HR  8247,21 35 15.9565497504,-23 27 15.531867576,8.6639 
HR  8248,21 33 17.8846699368,+45 51 14.454491328,1.2215 
HR  8249,21 38 02.8482682512,-64 49 27.002683956,6.5893 
HR  8250,21 34 33.9746582424,+22 45 16.277702472,15.6277 
HR  8251,21 35 17.6204922456,-03 58 59.897051112,5.8199 
HR  8252,21 33 58.8530450102,+45 35 30.620055459,25.9359 
HR  8253,21 36 10.9737246264,-26 10 17.456756016,18.2978 
HR  8254,21 41 28.5420355132,-77 23 24.031541832,51.5172 
HR  8255,21 34 46.5868653816,+38 32 02.640439968,14.0094 
HR  8256,21 36 48.8007863376,-33 02 52.426273812,14.027 
HR  8257,21 35 19.1165135016,+28 11 51.384718500,13.7171 
HR  8258,21 35 27.0373080,+24 27 07.776399,5.06 
HR  8259,21 34 27.4633482288,+51 41 54.480749712,2.185 
HR  8260,21 37 04.8306787,-19 27 57.646354,3.09 
HR  8261,21 36 13.9817930285,+30 03 19.516340065,8.0063 
HR  8262,21 36 02.4974143922,+45 22 28.523281074,5.1760 
HR  8263,21 37 33.7626010968,-00 23 26.022510132,8.8688 
HR  8264,21 37 45.1097726036,-07 51 15.125748379,18.2324 
HR  8265,21 37 43.6459822968,+06 37 06.209240304,11.5735 
HR  8266,21 36 56.9752120080,+40 24 48.692268180,15.2874 
HR  8267,21 37 45.4301717280,+19 19 06.993012540,11.2171 
HR  8268,21 39 06.1157005272,-33 40 43.870993212,22.6862 
HR  8269,21 39 59.7177377376,-52 21 32.401184724,5.7726 
HR  8270,21 38 31.9404979608,+05 46 18.282456840,19.0529 
HR  8271,21 40 33.7111065168,-55 44 16.722630600,4.9316 
HR  8272,21 37 27.8740204632,+44 41 47.574969360,5.5186 
HR  8273,21 39 28.1053702152,-10 34 36.740729640,10.1788 
HR  8274,21 38 45.1654876848,+25 29 55.595502600,8.0913 
HR  8275,21 37 38.8086154,+54 02 31.892759,6.06 
HR  8276,21 39 01.1887179552,+20 15 55.623301164,25.0683 
HR  8277,21 39 33.2671925016,+02 14 36.819344148,13.2155 
HR  8278,21 40 05.4454210419,-16 39 44.536313677,19.1037 
HR  8279,21 37 55.2241394424,+62 04 54.990376788,1.0251 
HR  8280,21 50 54.56355,-82 43 08.0450,7.97 
HR  8281,21 38 57.6195772032,+57 29 20.554016280,1.3604 
HR  8282,21 41 46.2148141296,-25 06 05.455780344,4.7131 
HR  8283,21 41 32.8588063853,-14 02 51.404792132,27.8625 
HR  8284,21 40 11.1100359936,+43 16 25.815895860,7.3395 
HR  8285,21 42 00.6970857096,-23 15 46.285843716,13.4853 
HR  8286,21 45 28.8287658432,-71 00 31.858979544,4.5238 
HR  8287,21 42 10.1125326360,+01 17 06.914950836,3.098 
HR  8288,21 42 39.5080810109,-18 51 58.755183216,10.6991 
HR  8289,21 42 15.4512939768,+05 40 48.499632588,4.6658 
HR  8290,21 40 43.3072037712,+54 52 19.758912816,4.0225 
HR  8291,21 41 34.2554097048,+40 48 18.790889112,7.3274 
HR  8292,21 42 32.9604290136,+10 49 27.536143944,6.4277 
HR  8293,21 43 13.5333108960,-19 37 15.462516000,8.9617 
HR  8294,22 45 30.2217747720,-88 49 05.861410716,9.6414 
HR  8295,21 43 04.3970602416,-14 23 58.957012860,6.9967 
HR  8296,21 41 43.9277188104,+42 50 29.039122176,0.7736 
HR  8297,21 42 01.0830893088,+35 30 36.719916552,1.6823 
HR  8298,21 42 08.3536971744,+45 45 56.511493308,4.1486 
HR  8299,21 44 29.4723514080,-38 33 09.101246328,3.7532 
HR  8300,21 42 22.9588733,+41 04 37.273655,7.91 
HR  8301,21 42 05.6645818,+51 11 22.641518,1.89 
HR  8302,21 44 00.9641305344,-14 44 57.739865388,18.4084 
HR  8303,21 45 18.7359293064,-49 29 55.535081892,7.8589 
HR  8304,21 42 38.8099919712,+49 36 00.889589448,3.3973 
HR  8305,21 44 56.8096691227,-33 01 32.814560067,15.3346 
HR  8306,21 43 06.4713509160,+41 09 17.902709244,5.7176 
HR  8307,21 43 25.6523360208,+38 17 00.927883932,11.7145 
HR  8308,21 44 11.1561394,+09 52 30.031152,4.73 
HR  8309,21 44 08.588952,+28 44 33.38203,42.1 
HR  8310,21 44 08.461753,+28 44 34.45411,~ 
HR  8311,21 45 00.2546726928,-09 04 56.739620388,4.1906 
HR  8312,21 42 45.3654311088,+59 16 15.036333600,3.1595 
HR  8313,21 44 30.6958139,+17 21 00.057062,3.52 
HR  8314,21 44 31.3299461136,+14 46 18.983292600,55.148 
HR  8315,21 44 38.73522,+25 38 42.1359,29.22 
HR  8316,21 43 30.4610574,+58 46 48.160181,0.55 
HR  8317,21 41 55.3084514088,+71 18 41.267467908,18.1808 
HR  8318,21 46 16.2693137520,-09 16 33.366822060,3.4703 
HR  8319,21 46 32.0971164144,-11 21 57.438820512,12.0253 
HR  8320,21 45 44.5126545576,+35 51 26.311603068,6.8854 
HR  8321,21 46 04.3635268800,+22 56 55.964753592,2.3673 
HR  8322,21 47 02.4442395,-16 07 38.233507,84.27 
HR  8323,21 48 15.7511634187,-47 18 13.017893348,64.2717 
HR  8324,21 43 04.0432859016,+72 19 12.307929132,13.1461 
HR  8325,21 46 23.9495076720,+25 33 48.621084480,8.2333 
HR  8326,21 47 44.1499307,-30 53 53.902653,10.16 
HR  8327,21 44 53.2791389640,+62 27 38.048647248,0.9978 
HR  8328,21 47 13.9621165992,+02 41 10.041016236,6.4928 
HR  8329,21 46 16.6048114920,+43 03 38.765334240,3.0692 
HR  8330,21 47 04.7602608072,+17 11 38.546127456,19.9653 
HR  8331,21 50 00.1239333072,-64 42 45.135802476,9.5919 
HR  8332,21 47 38.2387779720,-05 55 00.508746720,14.6456 
HR  8333,21 50 47.1751239720,-69 37 45.746495544,6.1458 
HR  8334,21 45 26.9247788,+61 07 14.899897,0.48 
HR  8335,21 46 47.6083178,+49 18 34.451096,2.95 
HR  8336,21 48 08.3942224248,+36 34 49.398272472,5.2495 
HR  8337,21 49 41.0151629952,-12 43 22.370511828,7.9444 
HR  8338,21 48 29.3544412392,+38 38 54.910013676,6.2214 
HR  8339,21 47 25.2953357808,+60 41 33.679451364,7.8978 
HR  8340,21 50 12.9815626728,-16 50 41.678743488,4.5845 
HR  8341,21 49 26.8665291504,+20 27 44.800800696,2.5551 
HR  8342,21 47 00.8496926808,+70 09 03.176947116,6.9736 
HR  8343,21 49 50.6943677280,+30 10 27.164754840,12.3616 
HR  8344,21 50 08.6568907687,+17 17 08.501297234,31.3091 
HR  8345,21 49 40.0940581200,+41 08 55.633325604,0.6249 
HR  8346,21 51 41.7470578368,-18 37 22.579219164,14.2683 
HR  8347,21 49 19.0107503256,+61 16 21.941149260,3.5468 
HR  8348,21 51 34.2486175968,+19 49 36.055146396,6.3737 
HR  8349,21 51 04.9807153584,+39 32 11.968580112,3.3742 
HR  8350,21 52 18.1836507384,+21 16 23.383737948,3.1294 
HR  8351,21 53 17.7704445429,-13 33 06.366703913,37.3377 
HR  8352,21 55 11.39417,-61 53 11.7947,21.52 
HR  8353,21 53 55.7163006264,-37 21 53.539981264,17.8080 
HR  8354,21 52 29.9168018496,+28 47 36.750679764,37.0591 
HR  8355,21 53 36.0352306776,-10 18 41.814222228,2.1845 
HR  8356,21 53 03.7682618,+25 55 30.490138,5.16 
HR  8357,21 52 01.0393576752,+55 47 48.298534764,5.1169 
HR  8358,21 53 37.3886477424,+19 40 06.479949432,15.1464 
HR  8359,21 53 57.7657361951,+06 51 53.297735149,6.2779 
HR  8360,21 54 10.3727585232,-04 16 34.233218436,11.2047 
HR  8361,21 51 37.24558,+65 45 09.7674,11.42 
HR  8362,21 56 14.0564257032,-57 53 58.515558540,6.7844 
HR  8363,21 54 35.9146357896,-03 18 04.584585384,13.7652 
HR  8364,21 54 17.4177172512,+19 43 05.243854044,8.9964 
HR  8365,21 55 55.6387797624,-30 36 21.313935648,7.7404 
HR  8366,21 56 22.7706765744,-37 15 13.156637652,10.3841 
HR  8367,21 57 02.1499101864,-37 44 48.643214064,7.963 
HR  8368,21 57 55.0735349,-54 59 33.274025,17.34 
HR  8369,21 58 30.0792344784,-59 00 43.723465560,19.4417 
HR  8370,22 01 52.6141251576,-77 39 45.152482464,9.7795 
HR  8371,21 54 53.1538880928,+56 36 40.415024952,0.9126 
HR  8372,21 56 23.9843401776,+21 14 23.491655412,3.0302 
HR  8373,21 56 56.3722909536,+12 04 35.377438872,7.2169 
HR  8374,21 55 20.5949872800,+61 32 30.521867352,1.0683 
HR  8375,21 55 30.99976,+65 19 14.9142,3.18 
HR  8376,21 58 13.3082947896,-05 25 29.716576788,18.5521 
HR  8377,21 57 02.2197670416,+48 40 06.844304856,2.4968 
HR  8378,21 58 43.7933459,-21 10 58.608290,3.10 
HR  8379,21 59 17.9119588992,-38 23 42.342854172,6.6764 
HR  8380,22 03 03.8227055880,-76 07 06.452629248,15.4736 
HR  8381,22 00 24.2480912400,-55 53 00.552720408,5.2171 
HR  8382,21 58 54.9854214456,-04 22 23.191421052,26.753 
HR  8383,21 56 39.1414963149,+63 37 31.981636440,1.0033 
HR  8384,21 57 11.1009923376,+66 09 22.155335100,2.134 
HR  8385,22 00 07.9250290512,+06 43 02.810180604,2.1733 
HR  8386,22 00 50.22537,-28 27 13.4639,3.99 
HR  8387,22 03 21.6536261624,-56 47 09.522795714,274.8431 
HR  8388,21 58 53.5232440200,+62 41 52.757357064,2.8388 
HR  8389,21 59 22.8567825072,+57 39 30.676055112,5.4482 
HR  8390,22 01 05.0152650096,+00 36 16.984805040,5.3825 
HR  8391,22 00 26.6999538792,+33 00 21.337180344,13.8534 
HR  8392,22 01 05.3510084472,+13 07 11.417141100,14.4396 
HR  8393,22 01 09.2343298680,+08 15 25.796293920,5.9112 
HR  8394,22 02 11.8558137624,-17 54 12.502812420,10.6512 
HR  8395,21 57 51.0525246096,+74 59 48.174780012,3.4134 
HR  8396,22 02 26.2490626,-16 57 53.407718,~ 
HR  8397,22 02 01.3753284048,+10 58 25.711266108,2.548 
HR  8398,22 03 17.0963684856,-29 54 16.386325272,13.8234 
HR  8399,22 00 39.2649125112,+62 29 16.063886004,1.0386 
HR  8400,21 59 14.9672073624,+73 10 47.622229320,27.2259 
HR  8401,22 03 16.4581530360,-06 31 20.666466516,10.7574 
HR  8402,22 03 18.8440292,-02 09 19.306758,7.49 
HR  8403,22 01 50.5866647688,+52 52 56.100144360,2.9856 
HR  8404,22 03 19.0326115488,+11 23 11.574375540,4.6202 
HR  8405,22 04 23.8360055688,-29 54 59.513488200,1.9132 
HR  8406,22 02 04.5726270264,+58 00 01.309758516,0.907 
HR  8407,22 02 56.66068,+44 38 59.5009,6.62 
HR  8408,22 04 36.7663467696,-26 49 20.495440812,3.2027 
HR  8409,22 05 51.0160103016,-59 38 09.859707528,7.0924 
HR  8410,22 04 47.4224193480,-00 54 22.839762708,14.1624 
HR  8411,22 06 06.8848137372,-39 32 36.070820047,13.0876 
HR  8412,22 04 34.5174239880,+32 56 30.285443256,2.6562 
HR  8413,22 05 40.7509642224,+05 03 30.708590796,12.4379 
HR  8414,22 05 47.0359315,-00 19 11.456766,6.23 
HR  8415,22 05 11.3344094040,+26 40 25.285361988,7.3919 
HR  8416,22 03 52.9770442632,+63 07 11.715055428,7.5328 
HR  8417,22 03 47.45499,+64 37 40.7128,33.79 
HR  8418,22 06 26.2273404225,-13 52 10.850020077,15.4940 
HR  8419,22 05 34.6744635816,+28 57 50.327100432,10.2922 
HR  8420,22 10 42.4293274776,-75 52 53.156638812,7.7539 
HR  8421,22 05 16.4991120456,+46 44 41.407404108,3.5303 
HR  8422,22 05 50.4494858112,+45 06 45.003104748,5.1499 
HR  8423,21 58 12.6744292464,+82 52 10.561663344,24.9343 
HR  8424,22 06 01.9526899392,+45 00 51.650286984,4.7509 
HR  8425,22 08 13.98473,-46 57 39.5078,32.29 
HR  8426,22 05 00.4988376072,+62 47 08.416311036,10.6734 
HR  8427,22 05 51.2185933968,+48 13 53.377700088,1.612 
HR  8428,22 05 08.7897533088,+62 16 47.332569936,1.0221 
HR  8429,22 06 12.2660311968,+45 14 55.273436700,10.7221 
HR  8430,22 07 00.6655101792,+25 20 42.356386464,84.0054 
HR  8431,22 08 23.0113421424,-32 59 18.491668224,27.0888 
HR  8432,22 11 54.9841578168,-76 06 57.678806160,11.1656 
HR  8433,22 08 25.9313202,-34 02 37.824777,7.69 
HR  8434,22 06 13.5664908456,+56 20 36.219953940,5.4853 
HR  8435,22 07 28.5927459576,+19 28 31.903027428,15.8062 
HR  8436,22 07 29.9665201464,+18 00 02.567921796,2.9775 
HR  8437,22 08 42.6440819592,-33 07 32.494799028,12.7134 
HR  8438,22 07 50.3038755192,+21 42 10.536282684,4.8899 
HR  8439,22 08 58.9903231176,-18 31 10.536229236,1.335 
HR  8440,22 09 57.8803529688,-48 06 27.579495024,4.5852 
HR  8441,22 08 17.2380094488,+25 32 36.674452716,11.4191 
HR  8442,22 07 09.6327028704,+58 50 26.591408088,5.0747 
HR  8443,22 07 25.5851458248,+53 18 26.773650216,0.4267 
HR  8444,22 09 55.7011258800,-34 00 53.877609036,15.5391 
HR  8445,22 08 16.2836136312,+49 47 49.164427968,2.4939 
HR  8446,22 10 00.1525694208,-28 17 32.762038380,8.3853 
HR  8447,22 10 08.7801946925,-32 32 54.270294310,54.1773 
HR  8448,22 08 40.8182089680,+45 44 32.107863120,23.5246 
HR  8449,22 09 13.6250956656,+33 10 20.477239752,11.2851 
HR  8450,22 10 11.9886121211,+06 11 52.517717538,36.7678 
HR  8451,22 10 21.1079251,-03 53 38.713233,6.75 
HR  8452,22 10 37.4820650,-11 33 53.775377,6.3394 
HR  8453,22 10 33.7470786144,-04 16 00.678794592,10.3957 
HR  8454,22 09 59.2430193207,+33 10 41.600399246,11.1990 
HR  8455,22 10 19.0212993624,+19 36 58.821678288,17.6955 
HR  8456,22 10 22.0352748552,+14 37 47.495395560,7.6043 
HR  8457,22 11 02.3776802544,-21 13 58.069014852,19.0313 
HR  8458,22 10 37.4323405488,+11 37 28.340469984,5.2577 
HR  8459,22 10 30.1833248592,+20 58 40.742749560,4.4461 
HR  8460,22 10 51.7090140792,+30 33 10.800033480,8.1456 
HR  8461,22 11 51.3309460896,+16 02 25.997965476,18.4593 
HR  8462,22 12 25.7584225536,-14 11 38.276251908,22.6269 
HR  8463,22 11 09.8935953888,+50 49 24.294385812,17.885 
HR  8464,22 12 57.4836831048,-26 19 40.050760800,15.7434 
HR  8465,22 10 51.2769159,+58 12 04.545587,3.90 
HR  8466,22 12 08.0937068712,+24 57 02.313215568,1.7704 
HR  8467,22 12 43.8684398448,-04 43 14.441314404,10.621 
HR  8468,22 09 48.4306626240,+72 20 28.339730448,8.2802 
HR  8469,22 11 30.5765111040,+59 24 52.154264880,1.1761 
HR  8470,22 13 44.4335148000,-25 10 51.253593852,13.2597 
HR  8471,22 17 50.5954347336,-77 30 41.598735084,25.7575 
HR  8472,22 11 48.7670966976,+56 50 21.684542208,26.4981 
HR  8473,22 10 15.2999456976,+72 06 40.552183764,6.025 
HR  8474,22 10 38.7894437040,+70 07 57.268863804,30.6881 
HR  8475,22 12 47.8242890424,+34 36 16.527575880,11.7066 
HR  8476,22 11 56.8907545680,+59 05 04.489307052,8.3854 
HR  8477,22 14 38.6528791223,-41 22 53.994495360,45.9146 
HR  8478,22 14 18.7512741288,-27 46 00.862864644,6.13 
HR  8479,22 12 02.0156316240,+60 45 32.752286424,7.9198 
HR  8480,22 14 18.03271,-21 04 28.4330,13.97 
HR  8481,22 20 01.6806230015,-80 26 23.089683198,11.1220 
HR  8482,22 13 38.6985335160,+28 36 28.859310360,13.7368 
HR  8483,22 12 22.4490606144,+63 17 27.725834760,3.9665 
HR  8484,22 15 35.0371923672,-44 27 05.392682460,4.4029 
HR  8485,22 13 52.7275081368,+39 42 53.728839720,5.7181 
HR  8486,22 15 36.9188246184,-41 20 48.345473292,9.3332 
HR  8487,22 13 49.2402464184,+45 26 26.201813100,12.8997 
HR  8488,22 16 26.5517539200,-41 37 37.854126516,14.508 
HR  8489,22 14 44.3613363960,+42 57 14.038829388,12.1647 
HR  8490,22 13 49.7033940792,+63 09 44.416963800,3.3869 
HR  8491,22 15 59.8286834208,+08 32 58.465911012,8.4258 
HR  8492,22 16 37.4637772704,-25 53 53.383302204,6.0729 
HR  8493,22 12 52.7643800592,+73 18 25.900104708,4.5401 
HR  8494,22 15 02.1972987635,+57 02 36.846735569,38.1598 
HR  8495,22 16 33.6544567896,-01 35 47.004315036,13.3618 
HR  8496,22 16 48.0458126112,-12 49 53.158376496,7.4283 
HR  8497,22 16 59.8378873128,-23 08 24.869008536,7.2603 
HR  8498,22 15 58.1768995862,+37 44 55.446825079,4.8108 
HR  8499,22 16 50.0366846016,-07 46 59.839473115,17.0893 
HR  8500,22 16 52.5673377144,-09 02 24.197104824,9.4163 
HR  8501,22 18 15.6133953371,-53 37 37.466806476,71.0938 
HR  8502,22 18 30.1124372937,-60 15 34.666361094,17.7324 
HR  8503,22 16 29.6467539432,+27 48 14.506673004,8.3329 
HR  8504,22 17 06.4995852960,-05 23 13.795642284,9.2521 
HR  8505,22 31 37.5151645344,-85 58 02.110440540,9.5042 
HR  8506,22 16 26.5631295408,+57 13 12.857307492,5.2856 
HR  8507,22 18 04.2721100256,-00 14 15.557994096,23.98 
HR  8508,22 19 00.7407950088,-13 18 17.973781488,9.8323 
HR  8509,22 20 36.2737618752,-57 30 35.214946308,4.3387 
HR  8510,22 18 56.2064803272,+37 46 09.432346332,14.0144 
HR  8511,22 18 12.6478522512,+62 48 15.804136584,5.1573 
HR  8512,22 20 11.9165745768,-07 49 15.966995808,4.3443 
HR  8513,22 20 27.5725870760,+05 47 22.209463367,2.3581 
HR  8514,22 20 55.7972067264,+08 11 12.271519068,31.8293 
HR  8515,22 24 36.8853892493,-72 15 19.488237466,35.1281 
HR  8516,22 21 35.5681377336,-21 35 53.628410796,17.3475 
HR  8517,22 21 00.0577245576,+26 56 06.578327544,4.4029 
HR  8518,22 21 39.3715681296,-01 23 14.457098796,25.8551 
HR  8519,22 20 39.5199170904,+50 58 50.932112052,1.734 
HR  8520,22 21 31.0751048,+12 12 18.662815,2.01 
HR  8521,22 22 44.2083897000,-45 56 52.791160956,6.1858 
HR  8522,22 21 19.3389504648,+28 19 49.906861392,4.5201 
HR  8523,22 21 01.5472649,+46 32 11.646085,5.88 
HR  8524,22 23 07.9870226784,-45 55 42.558056400,25.2139 
HR  8525,22 18 20.4356149776,+76 29 16.881679608,3.2222 
HR  8526,22 25 51.1550444400,-75 00 56.476290528,42.7219 
HR  8527,22 25 10.6041391056,-70 25 53.836959540,19.4861 
HR  8528,22 21 50.8743229968,+42 04 41.382420564,4.6405 
HR  8529,22 23 30.8488707240,-24 45 45.586166328,12.3615 
HR  8530,22 23 32.1500037504,-07 11 39.884201448,7.0235 
HR  8531,22 24 56.3686693520,-57 47 50.841196599,49.1648 
HR  8532,22 23 39.5646960208,+20 50 53.839403909,29.8125 
HR  8533,22 24 06.8843328,-04 50 13.269259,8.04 
HR  8534,22 24 27.0601648,-13 31 45.728963,7.12 
HR  8535,22 23 00.1872667344,+57 17 04.606223136,4.1243 
HR  8536,22 23 54.2528467824,+38 34 25.005700416,18.4655 
HR  8537,22 23 00.5205582432,+62 25 09.691259124,5.0368 
HR  8538,22 23 33.6233135918,+52 13 44.568181879,19.3014 
HR  8539,22 25 16.6228499,+01 22 38.634579,4.17 
HR  8540,22 27 19.9630746912,-64 57 58.896740736,11.5977 
HR  8541,22 24 30.9914928480,+49 28 35.010584652,1.2656 
HR  8542,22 26 10.7040418944,-23 40 56.807237892,7.8086 
HR  8543,22 25 40.6994500632,+18 26 39.523905456,4.8273 
HR  8544,22 26 34.270424,-16 44 29.72171,49.8 
HR  8545,22 26 34.300222,-16 44 31.90085,49.50 
HR  8546,22 13 10.5128347032,+86 06 28.811644560,12.8648 
HR  8547,22 28 37.6704330816,-67 29 20.619424428,22.8975 
HR  8548,22 26 37.3705884794,+04 23 37.605589572,24.9028 
HR  8549,22 26 45.55822,+37 26 37.3406,2.18 
HR  8550,22 23 41.6970537696,+78 14 35.947820832,3.2637 
HR  8551,22 27 51.5231162634,+04 41 44.404460456,21.0724 
HR  8552,22 28 39.2102482560,-39 07 54.446304108,11.7446 
HR  8553,22 27 26.4985235856,+39 48 36.093227436,2.0135 
HR  8554,22 26 59.1778485600,+56 26 00.838979844,4.0494 
HR  8555,22 27 46.2548811960,+31 50 24.166275720,4.0416 
HR  8556,22 29 16.1739539632,-43 29 44.021743519,9.9981 
HR  8557,22 26 00.8234699928,+70 46 15.252263184,6.6807 
HR  8558,22 28 49.8864208040,-00 01 13.961900362,34.4525 
HR  8559,22 28 49.8888105229,-00 01 11.872738417,34.5070 
HR  8560,22 29 45.4331493366,-43 44 57.187958530,9.1556 
HR  8561,22 27 05.3104700184,+65 07 56.160347196,0.9686 
HR  8562,22 29 07.9826359488,+09 07 44.526161208,4.4408 
HR  8563,22 29 46.0543412659,-27 06 26.142280965,25.0139 
HR  8564,22 29 10.2272589096,+26 45 47.512678032,3.7541 
HR  8565,22 30 01.4833050672,-12 54 54.425546424,13.6453 
HR  8566,22 29 57.9368897784,+04 25 54.081797376,18.9779 
HR  8567,22 30 17.3510138352,-14 35 08.637330444,4.9951 
HR  8568,22 28 19.4893144056,+64 05 06.558054684,8.1635 
HR  8569,22 29 44.0366957016,+35 43 32.266762032,9.198 
HR  8570,22 30 53.7730986000,-26 04 25.504108644,7.9457 
HR  8571,22 29 10.2626640314,+58 24 54.697613650,3.5551 
HR  8572,22 29 31.8225058,+47 42 24.792707,1.98 
HR  8573,22 30 38.8214037672,-10 40 40.505006280,15.8247 
HR  8574,22 30 01.8144555624,+32 34 21.498517884,8.2435 
HR  8575,22 30 06.5036358504,+49 21 23.084756172,8.3679 
HR  8576,22 31 30.3305233469,-32 20 45.871070532,22.0836 
HR  8577,22 35 26.5232685192,-78 46 17.704874208,3.5469 
HR  8578,22 26 42.4343328384,+78 47 09.143726100,16.2606 
HR  8579,22 30 29.2600453,+43 07 24.156435,1.90 
HR  8580,22 31 18.4181515080,-02 54 40.554262476,8.5395 
HR  8581,22 31 18.3282619654,-06 33 19.068890370,39.1884 
HR  8582,22 33 00.0617122198,-61 58 55.638546186,11.5274 
HR  8583,22 31 41.3167173190,-10 54 19.814795541,13.4137 
HR  8584,22 31 34.3513897128,+29 32 33.935492760,7.8282 
HR  8585,22 31 17.5014213452,+50 16 56.969913082,31.4943 
HR  8586,22 32 35.4807389712,+20 13 48.075873816,18.7302 
HR  8587,22 32 46.9086091872,+15 51 47.752380792,5.4749 
HR  8588,22 32 26.3768839080,+39 46 47.034286932,5.5372 
HR  8589,22 32 18.7224657648,+54 02 13.312669452,4.6265 
HR  8590,22 34 02.9137004280,-01 34 27.362001144,8.7408 
HR  8591,22 29 52.9779651816,+78 49 27.432032592,13.6037 
HR  8592,22 34 41.6357860992,-20 42 29.576916972,43.4396 
HR  8593,22 35 52.9310826600,-57 53 01.504175028,14.2607 
HR  8594,22 33 40.6494305424,+56 37 29.055508932,9.4506 
HR  8595,22 33 02.91024,+69 54 48.7698,12.87 
HR  8596,22 35 36.3757697424,-23 59 27.938860764,11.0125 
HR  8597,22 35 21.38126,-00 07 02.9888,19.43 
HR  8598,22 33 16.8294371730,+70 22 25.373546174,7.7049 
HR  8599,22 32 16.2246408240,+76 13 35.187719268,4.5118 
HR  8600,22 36 29.3022614016,-40 34 57.736798932,14.2858 
HR  8601,22 36 35.4401305824,-31 39 49.646890872,9.7605 
HR  8602,22 36 58.8533540496,-40 35 27.726103608,14.2337 
HR  8603,22 35 52.2827504304,+39 38 03.586773768,1.8914 
HR  8604,22 36 07.9012946040,+35 34 39.006542028,7.5582 
HR  8605,22 36 36.3298108488,+11 41 47.889930120,7.652 
HR  8606,22 35 53.3825016096,+50 04 14.837285784,1.7675 
HR  8607,22 35 51.9941061576,+56 04 14.069041068,8.9158 
HR  8608,22 37 04.8488206560,+12 34 36.541128252,4.2889 
HR  8609,22 36 48.6786121032,+35 39 08.709508080,4.0987 
HR  8610,22 37 45.3805453954,-04 13 40.997283364,14.7149 
HR  8611,22 39 08.4012581328,-52 41 31.098996708,8.3478 
HR  8612,22 38 22.1458788936,-07 53 51.209864196,9.5221 
HR  8613,22 37 22.4179184437,+51 32 42.435680257,18.6783 
HR  8614,22 38 44.6715904392,-28 44 53.570374548,7.9921 
HR  8615,22 35 46.1342339520,+73 38 35.467997280,17.3391 
HR  8616,22 38 51.4666589184,-33 04 52.846795092,8.5831 
HR  8617,22 38 17.3968125552,+45 10 58.557035064,4.5807 
HR  8618,22 38 52.5937940592,+19 31 20.103857904,7.9475 
HR  8619,22 39 44.1846716256,-28 19 32.374717392,9.4621 
HR  8620,22 40 48.9170998344,-57 25 20.348818464,4.7073 
HR  8621,22 38 37.9233049091,+56 47 44.277881218,7.2234 
HR  8622,22 39 15.6786372,+39 03 00.971152,1.89 
HR  8623,22 40 22.3051896192,-30 39 31.931211132,5.9529 
HR  8624,22 39 47.0111332512,+19 40 52.054058964,5.1385 
HR  8625,22 37 12.9654175848,+75 22 18.520600224,4.9227 
HR  8626,22 39 34.3331070264,+37 35 34.141321428,2.9319 
HR  8627,22 38 39.0517588680,+63 35 04.096947876,10.6477 
HR  8628,22 40 39.3482564136,-27 02 37.015051704,5.9219 
HR  8629,22 40 47.9728007472,-03 33 15.510163068,28.9535 
HR  8630,22 46 03.5109801,-81 22 53.811985,21.85 
