hr,ra,dec,parallax
HR   299,01 02 49.1896926576,-46 23 50.313370020,13.2894 
HR   300,01 03 17.6938658208,-29 31 33.047362776,7.9976 
HR   301,01 03 49.0282115952,+01 22 00.650124984,16.8461 
HR   302,01 04 46.7991860016,+51 00 35.211986388,3.0192 
HR   303,01 04 27.6244798752,+29 39 31.631943600,23.0928 
HR   304,01 02 42.9069532752,-65 27 21.965594400,3.3935 
HR   305,01 04 36.4490793672,+39 59 27.995352504,11.7191 
HR   306,01 16 13.2091220400,+87 08 43.788179364,8.7307 
HR   307,01 04 52.6379124432,+05 39 22.553042976,4.8225 
HR   308,01 05 05.3559353208,+14 56 46.085860824,18.9413 
HR   309,01 06 22.8172090848,+62 45 41.003774496,15.0118 
HR   310,01 05 40.9441288477,+21 28 23.490840041,10.7087 
HR   311,01 05 41.7111106896,+21 27 55.612006704,11.3778 
HR   312,01 09 12.1858774968,+80 00 41.693719392,7.9903 
HR   313,01 05 49.2273145104,+04 54 30.156785496,22.5346 
HR   314,01 05 51.4332128088,+04 54 33.781552200,22.6816 
HR   315,01 05 36.8827517688,-09 58 45.561871992,10.8184 
HR   316,01 07 00.1745063280,+56 56 05.898658776,9.7512 
HR   317,01 06 05.1486425280,-09 50 21.678755676,6.0959 
HR   318,01 07 09.4583917800,+53 29 53.465412480,2.2966 
HR   319,01 06 33.6265564800,+12 57 21.734581284,7.8743 
HR   320,01 06 07.7141953080,-23 59 32.943888024,9.3694 
HR   321,01 08 16.3029454473,+54 55 12.561201263,130.2881 
HR   322,01 06 05.03952,-46 43 06.2785,0.12 
HR   323,01 06 26.5793148072,-35 39 38.395271232,5.7356 
HR   324,01 08 00.8526611352,+43 56 31.525367820,16.432 
HR   325,01 07 12.9242392728,-23 59 46.805846244,14.3428 
HR   326,01 08 33.4662629952,+58 15 48.425007852,4.1778 
HR   327,01 08 01.3436357736,+32 00 43.665847416,23.3087 
HR   328,01 07 57.1639790784,+20 44 20.650382592,17.9579 
