name,alt_name,ra,dec,parallax
HR 1482,,157.06544,1.27656,
HR 1483,,208.96408,-34.84846,0.028
HR 1484,93    Tau,185.3059,-22.05298,
HR 1485,,296.31295,-31.25995,
HR 1486,,148.7268,8.83135,0.005
HR 1487,,211.51796,-35.66246,0.007
HR 1488,,197.52098,-29.46435,
HR 1489,,164.66056,-5.2705,0.022
HR 149,,118.80812,-35.49607,
HR 1490,,172.01751,-11.63713,
HR 1491,,135.73252,19.39697,0.021
HR 1492,,272.67178,-39.34228,
HR 1493,,156.0157,2.61864,
HR 1494,59    Per,160.95109,-1.77895,0.018
HR 1495,,223.58405,-38.91031,
HR 1496,54    Eri,217.79089,-37.36193,0.008
HR 1497,94Tau Tau,176.64452,-15.07181,0.017
HR 1498,,259.23705,-41.2276,
HR 1499,95    Tau,175.88014,-14.18558,
HR 15,21Alp And,111.73244,-32.84322,0.032
HR 150,,105.74571,-77.32898,
HR 1500,,163.06081,-3.28349,
HR 1501,,169.06348,-8.49227,
HR 1502,Alp Cae,246.15618,-41.49582,0.045
HR 1503,Bet Cae,239.91849,-40.91107,0.058
HR 1504,,268.60023,-39.73398,0.064
HR 1505,55    Eri,205.96133,-32.36662,0.008
HR 1506,55    Eri,205.96502,-32.36597,0.008
HR 1507,,186.90061,-21.80008,
HR 1508,56    Eri,205.7222,-32.12334,
HR 1509,,231.68508,-39.7395,
HR 151,,83.09174,-84.48514,
HR 1510,,140.05218,16.54535,
HR 1511,4    Cam,151.27074,7.53449,0.013
HR 1512,,176.61626,-14.03148,
HR 1513,,216.98521,-36.19852,
HR 1514,,163.73396,-3.22691,
HR 1515,,152.17703,6.8099,
HR 1516,Lam Pic,257.58002,-40.78727,0
HR 1517,,180.7065,-16.9344,
HR 1518,,245.12282,-40.87312,
HR 1519,,186.65447,-21.15666,0.005
HR 152,,120.1786,-18.30476,0.007
HR 1520,57Mu  Eri,200.52965,-29.33698,
HR 1521,,220.14624,-36.86637,
HR 1522,,200.35715,-28.99352,
HR 1523,,131.37979,22.77543,0.02
HR 1524,,235.96187,-39.75024,
HR 1525,,228.51348,-38.465,
HR 1526,,242.91087,-40.35149,
HR 1527,,146.25096,12.1546,0.001
HR 1528,,170.02742,-7.77812,
HR 1529,,170.91381,-8.52352,
HR 153,17Zet Cas,120.77575,-8.91427,0.004
